sentimen,Tweet
-1,huhiapa yang setan aku tak tahu apapun alasannya aku tak ingin tahu perasaan pembunuh kogoro mouri 
-1,saya tak dapat naik bas sbb tk sempat print tiket panjang sangat beratur then dia pegi cakap dekat akak tu ape en 
-1,aku keelatan saja sebab perasaan ini tak bisa ku utarakan recehkantwitter
-1,yang kangen sama aku mana nih retweet nya say 
-1,tidak usah saling tuding siapa yang biadab tapi buktikan siapa yang beradab buktikan siapa yang bisa menerima tim t 
-1,aku menyesal tlah membuatmu pergi kini diam diam aku merindu dan dalam tunggu aku selalu berharap kau cepat kembali pulang 
-1,kalau pu tu cakap musibah maksiat maksiat jenis apa zina kalau maksud dia zina dia perlu sediakan bukti org b 
-1,coba di antara kamu dan temen temenmu siapa yg suara tawanya paling kenceng percayalah dialah jg yg jeritan hatinya pa 
-1,dulu aku selalu dengar orang kata menangis tanpa keluar suara itu lah sakit yg paling mendalam sebenarnya now i feel that 
-1,tak bisa dipungkiri bahwa telah pernah komunismemengancamnegeri dan menorehkan peristiwa berdarah paling memalukan sekalig 
-1,Maaf 'arah masih butuh kamu
-1,yang kita sebut perbuatan pengecut dan biadab itu ya yang seperti iniemoga pelau cepat ditangkap dan 
-1,kamu kok maruk 
-1,dom malang nih kamu 
-1,ketika orang lain menilai mereka menilai apa yang mereka lihat dan pikirkan ketika mereka berpikir diriku buruk maka burukl 
-1,masa aku nak picked up ibu aku malam tadi dekat mc ada kucing ni dudukje tengok bas lalu lalang aku datang dekat 
-1,menurutku karena sebagian besar rakyat kita ngga punya kemampuan yang berguna di bidang kerja dan males bu 
-1,dan peliharalah dirimu dari pada siksaan yang tidak khusus menimpa orang orang yang zalim saja di antara kamu dan 
-1,saat capek banget dan kurang tidur aku lebih memilih menyendiri makan sendiri menghubungi orang2 tersayang dll rasanya tenang 
-1,soal pemukulan ratna sarumpaet setelah membandingkan fotonya dugaan saya itu hoax kita tunggu saja hasil pemeriksaan pol 
-1,sedih gua baru sadaremakin lama gua main rp semakin tua dan semakin tampak membosankan guaemakin ga asik lagiem 
-1,wanita menangis bukan sebab mereka lemah namun sebab mereka tak temukan kata untuk ungkapkan perasaan mereka 
-1,aku taktaulah hg tuju dekatapa but after read it i'm crying rindu tu sakit sebab takleh nak luah bcs thing i 
-1,aku tengok niiiii rasa macam hati aku pun dipukul macam tu jugak weh sakittttttt kesian anjing tu 
-1,aku rindu menjadi diriku sendiri aku yang utuh 
-1,like aku pun ada gak nak kena jaga hati org and aku rasa aku boleh je join memana plan haishhhh 
-1,kenapa kamu selalu mengatakan hal yang buruk kepada presidenensasi dan ocehanmu sudah di ketahui oleh masyarakat 
-1,apa guna aku amik lesen kalau tak bagi aku driveupportla anak ni sikittttt hem 
-1,husnudzon jokowi amp team kampanye nya terlepas dari pembuat hoax ini jadi mau liat kesungguhan menang 
-1,rezim apaan ini makin hancur nkri 
-1,nilah antara penyebab utama aku taknak balik ni
-1,kita boleh berdeda pandangan dalam demokrasi tapi untuk memakai cara2 kekerasan terhadap aktivis perempuan 
-1,aku keras gak gampang baper
-1,tidak terjadi apa apa tapi komunikasi kita terputus
-1,meh tak pastekno tapi aku ora iso kondo 
-1,dendam menyebabkan imunitas tubuh kita mati disitulah bermula awal segala penyakittress kolesterol tinggi darah tinggi jantung dll 
-1,2 minggu lepas allah uji aku dengan motorsikal hilang dah usaha parking ditempat selamat kunci tambahan tapi pencuri leb 
-1,kalau aku bilang aku ga peduli dan ga care lagi dengan kamu itu yang akan aku lakukan
-1,aku diam bukan karena sabar mungkin aku diam agar kamu sadarelamat siang 
-1,aku mula mula macam okaylah whatever then baca artikel rupanya dia nak bertanding sebab dia tak clean macam tok mat so tak 
-1,apa urusan anda menanyakan itu bukan hak anda bertanya kepada saya kalo wawancara ya ditanya lah masa didongengin giman 
-1,jika aku bsa jadi bagian dari dirimu aku mau jadi airmatamu yg trsimpan di hatimu lahir dari matamu hidup di pipimu dan mati di bibirmu
-1,aku stress sjskjsksjsksjsjsks
-1,halahhh curang kamu
-1,enggan melepas hati yang satu tetapi menggoda hati yang lain kamu ini kemaruk jadi manusia 
-1,receeehh ah kamu
-1,aktivis perempuan ratnaarumpaet di aniaya oleh orang tak dikenal skrg msh berada di rumahakit yg dirahasiakan krn t 
-1,tapi aku galau karena aku juga suka sama juneeee huhuhu
-1,waduh kebangetan sama emak2
-1,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe 
-1,ada masalah ke kalau pakai gambar sendiri as a wallpaper ada pulak yang tak puas hati dengan aku hp aku kot aku tengok 
-1,karna aku bukan crazy rich balikpapan
-1,turut berbela sungkawa atas sekaratnya jiwa para berkerumun tertawa tawa di sempitnya ruang bahagia yang seharusnya luas ta 
-1,ratnaarumpaet dianiaya orang mirip ulah pki pki biadap pki laknat hancurkan dan azab lah rezim dzalim ini yaa 
-1,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl 
-1,seluruh jamaah maiyah berprihatin bersedih dan berdoa untuk semuaaudara kita yang menjadi korban gempa besar di 
-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
-1,tiap pacaran harga diri aku turun turunin tuh 
-1,gak sekalian bencana itu salah nomer 1 atau nomer 2 
-1,aku gak balas dendam padahal
-1,mesti ada ckp kat mak aku bdn dia sakit sakit la tdr atas lantai 
-1,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru 
-1,presiden kita ini kalo bicara sprti orang ngigau lombok saja berbulan2 blum bereskrg bilang palu selesai seminggu p 
-1,anda fitnah supporter sekaligus lecehkan lafal tauhid ini masalah serius 
-1,kayak woojin kesringan barengih dasar anak kembar 
-1,mau nangis banget aku pas ngerujuk pasien pake ambulance ni mas gojeknya bantuin bukain jalan padahal beliau bukan k 
-1,orang perempuan tak kan cuba tips ni thanks 
-1,supporter terbunuh responemoga ini yg terakhir terus begitu supporter semakin anarkis jika itu terjadi di ma 
-1,aku mau rpin istri ong bisa gak 
-1,sampe lupa kalo hari ini tgl 14 tp mas uu ga pernah lupa lagi sakit gini masih terus inget dan urusin aku yg la 
-1,kenapa aku ingin putus dengannya ya karena aku tak punya alasan untuk bertahan dengannya egha ys
-1,tak boleh naik bas tak boleh pegi klcc duduk je dalam rumah 8 orang seb 
-1,penjarahan apapun tidak boleh ditoleransi toleransi pd perilaku penjarahan akan berakibat chaos yang merugikan banyak p 
-1,manusia bermuka setebal tembok penjara tak tau maluejatinya dia adalah seorang pengecut dan pecundang ilc sdh buktikan i 
-1,merepak indah aku hahaha asa nk ketok jak palak pemerintah ya
-1,harus diwaspadai juga nih mereka sampa 
-1,aku overthinking cuz flight aku mlm ni malas gile dah la tengah demam 
-1,sudah melanggar aturan kpu dengan membawa alat peraga kampanye masih tidak sadar juga salahnya apa kalian sudah curangseja 
-1,bukan menuduh tapi kita bisakan menerka nerka siapa di balik ini 
-1,di obrolan chat panjang kita pernah saling takut kehilangan sampai pada suatu waktu obrolan kita mulai kosong mulai sep 
-1,sapa nak layan perangai annoying aku ni nanti wei
-1,apa kata you try kat mulut you dulu mana tau boleh kurangkan mulut laser tu 
-1,mangkal mas mangkal ah humor kita ga sama nih kita putus ya 
-1,ni srs la do aku cakap sebab aku sayang dia aku tak nak dia sakit lagi sebab aku 
-1,muke aku buruk sgt ke lancau
-1,selamat siang kami mohon maaf atas ketidaknyamanan yang ibu alami mohon kesediaan ibu mengunjungi 
-1,1km tak sure naik kereta kos 30 ringgit sebulan hshshdhdhdhd
-1,masih ada kah keadilan di negara kita ini pak 
-1,tidak membalas line chat lebih dari 5 menit keyboard handphone seorang pemuda berubah tema jadi wajahnya sendiri 
-1,ga ada 
-1,anda ini pejabat negara gk tau aturan emang klu janji harus d tepati sekarang jgn provokasi orang2 yg uda 
-1,kamu merusak kebahagiaan seorang anak gadis yang dicintai dan dibesarkan sepenuh hati oleh ayah dan ibunya 
-1,selesai tengok prisoners korang yg suka film crime thriller boleh tengok cite ni layan jugak la anak hugh jackman dg 
-1,di saat fpi lagi sibuk2nya bantu korban bencana alam di palu dan donggala ada saja pihak2 yg fitnah fpi 
-1,Masih mau berlaga baik dengan lawan Lawan licik kita ini licik beda pilihan hajar 
-1,aku belom dapet huhu
-1,moncong mu itu bg asbun dan kyk memprovokasi aja tolong lah kata2 yg m 
-1,Orang2 yg selalu mengambil kesempatan di dalam kesempitan mereka tertawa di atas penderitaan orang 
-1,ferdinand kaitkan nama koalisi jokowi dengan perbudakan jadi bagusnya apa nama koalisi yang bagus om apa 
-1,kadang suka bingung sama perutku ga dikasih makan dia bunyiudah dikasih makan eh masih bunyi lagi trus aku kudu piye 
-1,aku gak di ajak 
-1,bagaimana kalau kita balikan ke mantan yang pernah sakiti kita gak ada yg salah dengan balikan sama mantan perb 
-1,ada golongan yg tk sokong dr zakir naik sebabkn contentnya yg 'tk sesuai' dgn multi racial country dan akan mengan 
-1,sayang jangan gitu dong aku takkan berbohong aku akan jujur sayang aku tak akan berdustaaaa
-1,nak moveon sometimes susah lah jugak dah kalau crush dok terserempak je dengan kitao aku sarankan jangan ada crush sa 
-1,maksudku gini kalo kamu pernah curhat disakiti dikasarin dll kemudian kamu bilang cukup dan mau pergi lalu beberapa mingg 
-1,apa benda bodoh women yang kena blame pulak ni benak tak da kaitan lah bodo ada ke org blame pompuan bunuh binatang 
-1,Terkadang kita memang perlu berpura2 bodoh agar kita bisa tau siapa saja yg sering membodohi kita 
-1,yang salah itu ya kamu mz nggak ngerti prosedur rekrutmen sama prinsip dasar ekonomi namanya pasang loker itu ya harusnya n 
-1,astaghfirullahaladzim begitu keji dan jahat kalian memperlakukan seorang perempuan
-1,kurang baiknya karena para pejabat pemerintah terima imbalan dari seluruh proses pembangunan itu dan tidak dibagi ke rakyat t 
-1,siapa tak kesian umur mereka mungkin setaraf abang atau bapa saya mengenangkan mereka tidak kenang budi sebelum ini s 
-1,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
-1,aku juga jual username gt lt 
-1,udah yang sabar paling ya jodohnya kamu bukan dia sambil ngelus punggung temen saya saya bilang gitu lhadalah 
-1,me aku malas nak jaga hati orang also me hmm tak sampai hati pulak 
-1,hukuman yg cukup berat jika konsisten dijalankan keknya ada harapan kedepan ga akan ada lagi hal hal berbau kekerasan dibola kita
-1,kalau kamu belum punya anak lalu mau ikut sok ceramah dan propaganda soal anti vaksin let me tell you one thing ya go 
-1,ngeliat berita supporter meninggal di instagram itu lebih ekstrim ekstrim liat judul clickbait nya ekstrim liat komentar nya juga 
-1,iya pak lapar nya kayak limbadmpe makan tipi segala itu laper apa mau bikin rental ps 
-1,anj staghfirullahaladzim luy ga baik kirim2 kaya gini aku mah ga akan tergoda 
-1,dekat fb aina kena hentam walaupun bercerita soal kebenaraneolah2 rahsia allah itu sungguh lancang disebut orang tuduhan 
-1,ckckck mulai mereka main kasar 
-1,aku buat ape kt kau sampai kau layan aku macam gini
-1,dekat masjid skrg pun group ws mmg kecoh benda ni satu je sbb mmg sbb lgbt takde sbb lain 
-1,ko biadap sekali pelakunya mungkin pelaku dilahirkan bukan dari seorang wanita penegak hukum harus tegas 
-1,bukan kating tapi kakel smp dulu gue teriakin kak xxx bego pas pulang besoknya dia nyariin gue d 
-1,menitik air mata aku terbayang betapa terseksa kucing betina bunting tu mati melecur dalam mesin dryer kedai dobi taman 
-1,alalalaaaaa baru nk tunjuk kat adik aku video ngokngek koya melukis tu u u
-1,jangan memaksa kamu bukan siapa siapa 
-1,kalau kau tipu mungkin aku percaya sbb yelah aku ni kan jenis bodo bodo cepat ercaya hm ntahla wak
-1,24 tahun hidup baru aku tahu sebanyak ni rupanya idioms siap ikut jenis hidupan laut pulak tu 
-1,pasti dia besok ketika di tanya malaikat siapa tuhanmu dia bakalan jawab apa urusan anda menanyakan i 
-1,kebodohan pembodohan yang telanjang bencana alam dibahas di acara diskusi politik anda tak punya empati 
-1,jika bangun malam menemui rabb saja kamu tak mampu lalu bagaimana cara kamu membangun impian impian itu tausiyahku d 
-1,jangan tanya aku aku kentang non kyut yg cuma bisa mendem rasa aja mau deket tapi takut ndak dinotis 
-1,yang ku takuti ketika nanti aku benar benar melupakan dan yasudahlah lalu kemudian kamu tersadar dan mengejar tapi aku sud 
-1,btw kemaren cuco abis ke jkt tapi aku kehabisa tiket huhu 
-1,tni di medan obrak2 toko sipil krn anak tni tdk puas dgn pelayanan toko kami masyarakat tdk terima ada tni di antara kita 
-1,oalah gk nnton aku
-1,aku tidak suka membenarkan bule yg kalo ngomong bahasa masih salah2elama aku ngerti aku rapopo lagian bahasa in 
-1,idm aku tidak mau merinding sendirian 
-1,kan biar kamu mumet je 
-1,keluar airmata jantan aku baca 
-1,jika hidup ini mudah kamu tak akan mikir tiap malam berusaha mencari tahu mengapa kamu masih jomblo hingga saat ini 
-1,jangan salah paham mereka digreb 
-1,kamu kasian sama mereka mereka yang harus minggir 
-1,ambyar kthku astaga
-1,suka gemes sama oknum gak bertanggungjawab yg menyebar hoax ditengah kesedihan yg melanda saudara kita hati dl 
-1,kau scam aku sia siapa suruh ajak pubg semalam
-1,belajar sampai degree master phd tapi nak hormat mak cik cleaner cuci tandas kolej pun susah bayangkan itu ibu kit 
-1,otak kau di pantat
-1,gapapa lumayan ada yang berasa pentas ditabok quq a aku pengen tapi mager transportnya heh
-1,aku sadar aku yang memilih utk bertahan harus bisa terima semua resiko dan nyetok sabar sebanyak mungkin untuk ldr ini 
-1,gue mah diem aja sambil mantengin ga berani komentar apa2 ga berani berharap apa2 liat aja minggu depan klo 
-1,kalau kita belum kenal orang tu betul2 jangan kita nak memandai describe keburukan orng tu
-1,hari gini masih takut sama olshop yang suka tipu beli disini kita yakinkan kamu dengan cod bogor jual masker spirulina chitosan vitalin dll
-1,aku penat dahh aku tak sanggup lagi kalau kau taknak kau cakap jangan buat aku mcm tunggul aku penat tau takkk 
-1,pinky cantik juga ya
-1,sama aku juga teh pengen usia segitu tapi ngga tau ya nanti gimana wkwk
-1,netizen itu suka ambil kesimpulan sendiri ya edukasi seks dibilangnya mendukung seks bebas edukasi tentang hiv dibilan 
-1,biarin ajaa mereka koar
-1,diam kamu 
-1,kucari kamu kutemui kau berubaaaaaah 
-1,biasalah tu jangan expect mcm mcm nnti kita sedih terima jela dari takda tu huhuhu
-1,sorry 
-1,kamu kok curhat
-1,ndelok i hestek crazyrichsurabayan mek iso mbatin aku ae mangan indomi lek wes entek yo bumbune sek tak koreti 
-1,pemain tak terlibat tapi kena imbas ulah suporternya pasti terpukul apalagi mereka pemimpin klasemen 
-1,ngga selamanya orang lain akan menerima atau membalas kebaikan kita cukup tauin aja jangan dibikin kecewa karena itu wa 
-1,kadang meskipun kamu yakin telah melupakannya sebuah lagu mampu membawa semua kenangan indah bersamanya kembali ke pikiranmu kmutiara
-1,aku mnangis bkn krn takut mati krn kcintaanku kpd dunia akn ttpi yg mmbuatku mnangis adl ksedihanku krn aku tdk b 
-1,nigga asu kontol memek jembut goblok
-1,aku akan menunjukkan bahwa memilih bertarung dengan fairy tail adalah sebuah kesalahan natsu dragneel fairytail
-1,ko tak rindu aku ke 
-1,rana meletakkan bawaannya dengan anarkis ke atas meja lalu duduk di sofa sambil melirik kiri ka 
-1,bareng chanu jgn bacot di mt nanti limit mentab ke suspend loh wkwk aku mau molor bentar
-1,Kalau kamu islam salat dan minta solusi sama Allah Bukan nanya di menfess 
-1,benci uh kerje gan orang tkleh tolak ansur kerja gan bangsa dia kadang boleh buat aku nk brehenti kerje 
-1,aku bukan anak orang senang pakai ala kadar je rupa pon takde apatah lagi harta bukan rendah diri tapi sedar diri 
-1,askmf jadi kan tadi aku baru download gojek terus pas mau masukin kode nya belom aja di ketik tapi tiba2 udah ter 
-1,ya memang sih ada yg pesimis dgn blg lah ngomong doang mah gampang tp anak muda kan sering diremehin dan banyak pre 
-1,aku cuma acah acah happy je depan kawan padahal life aku sunyi sepi tinggal cengkerik je bunyi 
-1,kalo mau bercanda itu coba kata katanya di saring dulu mana yang menyakitkan mana yang enggak mana yang sesuai fa 
-1,semalam satu hari aku murung sebab terdengar lagu ni 
-1,ya allah jantung aku macam terhenti seminit lepas baca nama naz tu 
-1,hingga saat ini satu juta muslim uighur ditahan di kamp kamp oleh pemerintah komunis china dan kaum liberal diam seribu ba 
-1,males ah kamu aja yang marahin
-1,soal pemukulan ratna sarumpaet setelah membandingkan fotonya dugaan saya itu hoax kita tunggu saja hasil pemeriksaan polisi
-1,kenapa la banyak sgt cerita kt twitter yg aku baca pasal perempuan curang korang tak kesian ke dekat lelaki yg nk halalkan korg tu 
-1,biadap ek viralkan aku 
-1,sudah saatnya mengundurkan diri dari jika masih punya rasa malu anda tidak terlihat serius dan t 
-1,bukankah pantas jika aku merasa berbeda 
-1,tapi berarti udah punya anak ya hmm lalu apa gunanya untuk aku
-1,minta ais batu je la anjir 
-1,ya udah aku ganchar jd brondong biar kamu lemah p
-1,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
-1,maaf kalo aku harus senyapkan story mu bukan aku munafik ini salah satu caraku berhenti menikmati rasa kecewa 
-1,nah maka nya tadi sy stalk akun nya aneh aja pakai ava dan id ganti presiden tp nyamber tuit sy maki2 ternyata 
-1,luka kalian adalah luka kami duka kalian adalah duka kami kata f shuhaiber pemuda palestina asal gazau 
-1,apa urusan anda menanyakan itu bukan hak anda wartawan beanya kepadaaya 
-1,aku tahu lah aku ni cengeng tapi cuba jangan cakap asyik nangis je lain orang lain cara dia luahkan kesedihan mujur aku t 
-1,kalau burger ni ada mata konfem menangis seumur hidup dia diperlakukan dengan sebegini rupa 
-1,bukan ma kamu
-1,di tii bukan mau merubah dasar negara indonesia mereka 
-1,kamu bicara sdh mengarah keara lhoo hati2 apa urs 
-1,gak memukul jd kamu otaknya yaa provokator nya 
-1,kenapa sih kamu manja banged ngomong sama tenggorokan 
-1,sekarang dah tak ada hati nak reply chat with strangers like hi what is yr name tinggal mana anak keberapa dulu belaja 
-1,cuplikan video mungkin hoax mendagri cahyo kumolo alfa mart alfa mart itu tolong di buka di jaga di inventarisir ngambil 
-1,kenapa aku jenis reply chat orang cepat nak mampus sedangkan orang tu lepas sejam baru dia reply and aku boleh terima de 
-1,sok tau kamu d
-1,iyain ajalah kasian tapi masih cantikan aku 
-1,klw bo dengan ku yg cepet kluar ya say biar cepet selesai aku suka yg mainy sebentr gk bikin capek 
-1,lepaskanlah dia tidak mau kamuadarlah jangan membatu 
-1,hal yang paling aku takutkan di dunia selain kematian 1 ngecewain dia 2 gak bisa bahagiain dia 3 kehilangan d 
-1,apa bodohlah record masa mandi nonton bokeponline gt 
-1,bila aksi rekan kita kalian anggap sebagai perbuatan tercela dan menghina maka coba tengok apa yang telah aparat selama ini 
-1,tapi kmu sudah tak seperti dulu skrg suka tidur duluan dan aku sangat kecewa 
-1,aku dah cuba untuk menjadi yg terbaik tapi kau x pernah nampak
-1,jika aku memanggilmu jangan tanya kenapa aku memanggilmu itu karena aku rindu tanyalah hatimu rindukah kamu denganku aseq 
-1,Apak kasar do aku kejut orang Kesian bbyboo kita Maaf 
-1,malah kalauama nggak cocok di jadiinatu malenn pasalahatu kita bosen kita curhat keiapa hah
-1,acap kali kebohongan memanjakan kita dari pahitnya realita yang ada 
-1,yg paling njeglek itu ya jaman cmb dah lah pathcode tuh kurang keren apa ternyata mv nya sehun nyeker 
-1,iya gara aku bacot keknya 
-1,mesakke ik pengen aku ngewangi mbeneke 
-1,don't be cheesy please bukan kita banget btw gelap sesak mah hati lo
-1,ya allah ini pelaku nya bukan manusia tapi iblis kita tunggu kerja nyata kalian jangan lagi kalia 
-1,ketika mewujud kerumunan massa perilaku orang orang di dalamnya menjadi impulsif tidak bertanggung jawab irasional dan agr 
-1,sedih dan terharu 
-1,perempuan ni dia tak suka kongsi suami tapi mereka suka sangat sangat kongsi aurat dekat lamanosial 
-1,ya masak kepala2 negara ini mengecam jokowi di dpn umum iri mungkin iya 
-1,terima kasih untuk kawan baik aku yang pernah tinggalkan aku niebenarnya aku lagi rela kau pergi dari stay dengan aku 
-1,aku insaf tunggu van ni aku yg aku jalan kaki kang
-1,rindu dahi kita jugaa 
-1,weh aku murung seumur hidup
-1,aku mintak maafebab aku dah penat nak menjaga hati orang yang sikit pun tak menjaga hati aku balik 
-1,misalnya ada suatu kondisi dmn aku bnran lg galauin km trus km ngetweet galau seolah2 itu buat aku padahal buat org lain itu babi namanya 
-1,yeol meskipun kita 'tinggi' tapi gaboleh bully yang bantet kasian g
-1,kepada anjir anjir yang seronok mengata pasal aku break off dengan manusia tu nahhh dah lepasni jangan salahkan aku dah 
-1,kita tak boleh nak puaskan hati semua org kan 
-1,menjual masakan host kitchen itu tidak lebih berfaedah dari prank atta wahaayy muslim apa dalil menjual racuuunnn pake na 
-1,semua benda aku cakap aku tak kesah sebab nak jaga hati awak hm tapi awak entahlah nak menangis pun entahlah
-1,ahahaha ga tau sih tapi aku ngerasanya pasti ga enak banget kalo diputusin cmn via text kecuali mah kalo ldr 
-1,mu gemes banget adminnya aku ga jadi marah 
-1,gak akan putus mata rantai kekerasannya kalo gini terusolusi jalan tengah ya pssi harus berani bikin regulas 
-1,bila diam je terus kena label kita ni sombongebenarnya aku tak sombong pun just malu and at the same time aku jaga adab juga 
-1,bak kata fina lelaki ni nak kita terus teranh hah hamekk kauu akuu straight to the point je kalau akuu sakit 
-1,iyaa tp dia kirim paket ku ga bener jd aku kasih bintang 4 atau 3 kalo gasalah hahah bodoamat 
-1,kamu yang dichat aku yang sakit 
-1,kamulah satu satunya yang ternyata stalking aku maafkanlah aku selama ini yang sedikit melupakanmu 
-1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
-1,hati modus tipu2an ala jokower kaya gini data jelek mereka spin jadi bagus data yg tidak mencapai target mere 
-1,babekasihtau inul daratista mengaku memendam kekesalanelama 15 tahun pada rhoma irama beginilah awal mula perse 
-1,tiga tipe pecintaepak bola di tanah air 1uka klub lokal ga peduli timnas 2angat care sama timnas benci kl 
-1,Pura pura tidak tau Pura pura bodo Adalah sikap aku ke kamu sebagai wujud masih ada toleransi akan sikapmu Jangan 
-1,aku dijaga orang tuaku lebih 2 dekad untuk merasa hancur di tanganmu sesaat 
-1,hmm hmm kamu iri ya karna ga ada yg ngechat ga ada yg bisa di ceritain hmm 
-1,dia ajak aku main game dalam kedaan hp org semua kene rampas ni jadah dia haih
-1,tazkirah subuh tadi ustaz bagitau allah akan maafkan semua dosa dosa makhluknya kecuali golongan al mujahiriniapa mere 
-1,mereka menyesal kerana tidak solat dan kurang beramal di dunia lalu memohon utk dikembalikan ke dunia semula https 
-1,ada baiknya kita tidak ikut2 an latah memposting wajah bunda pasca dianiaya mari kita hormati beliau dan ke 
-1,jika kamu seorang pencinta dunia maka janganlah engkau mencintai aku kerana dunia tidak ada padaku
-1,patutlah malaikat persoalkan pada allah kenapa kau nak jadikan manusia mereka akan melakukan kerosakan pada bumi kami ad 
-1,gada kerjaan banget org pelakunya juga udah di tangkep 
-1,jangan yakinkan diri bahwa dia menyukaimu hanya karena dia bersikap manis padamu kadang kamu hanya sebuah pilihan 
